stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"de:08125:2006:0:1","Sülzbach M.-Beheim-Schule","49.14331482","9.35197415","","","","Pde:08125:2006"
"de:08125:2006:0:2","Sülzbach M.-Beheim-Schule","49.14286821","9.35182143","","","","Pde:08125:2006"
"de:08125:2017:1:1","Willsbach","49.14286233","9.35731014","","","","Pde:08125:2017"
"de:08125:2017:2:2","Willsbach","49.14239808","9.35842405","","","","Pde:08125:2017"
"de:08125:2017:3:0","Willsbach Bahnhof","49.14225704","9.35811862","","","","Pde:08125:2017"
"de:08125:2032:1:3","Affaltrach (Ersatzhalt)","49.13615085","9.38134007","","","","Pde:08125:2032"
"de:08125:2032:1:4","Affaltrach (Ersatzhalt)","49.13623313","9.38127719","","","","Pde:08125:2032"
"de:08125:2032:2:1","Affaltrach","49.13793166","9.37948056","","","","Pde:08125:2032"
"de:08125:2032:4:2","Affaltrach","49.13769069","9.37861818","","","","Pde:08125:2032"
"de:08125:31502:1:1","Neckarsulm Süd","49.18039342","9.22062249","","","","Pde:08125:31502"
"de:08125:31502:1:2","Neckarsulm Süd","49.18020552","9.22064944","","","","Pde:08125:31502"
"de:08125:31502:3:SEV1","Neckarsulm Süd","49.17923073","9.22003858","","","","Pde:08125:31502"
"de:08125:31502:3:SEV2","Neckarsulm Süd","49.17987668","9.21911332","","","","Pde:08125:31502"
"de:08125:31503:1:1","Neckarsulm Mitte","49.19346887","9.22301201","","","","Pde:08125:31503"
"de:08125:31503:1:2","Neckarsulm Mitte","49.19267634","9.22237420","","","","Pde:08125:31503"
"de:08125:31504:1:1","Neckarsulm Nord","49.20215066","9.22875224","","","","Pde:08125:31504"
"de:08125:31504:1:2","Neckarsulm Nord","49.20145218","9.22853664","","","","Pde:08125:31504"
"de:08125:31504:2:ZG-NS","Neckarsulm Nord","49.20186892","9.22833003","","","","Pde:08125:31504"
"de:08125:33415:0:1","Elsenz Freudenhälde","49.17157274","8.84305159","0278","","","Pde:08125:33415"
"de:08125:33415:0:2","Elsenz Freudenhälde","49.17132019","8.84324024","0278","","","Pde:08125:33415"
"de:08125:3900:1:29","Gemmingen Bahnhof","49.15154124","8.98467998","","","","Pde:08125:3900"
"de:08125:3900:2:1","Gemmingen","49.15166463","8.98353912","","","","Pde:08125:3900"
"de:08125:3900:2:2","Gemmingen","49.15138261","8.98430268","","","","Pde:08125:3900"
"de:08125:4344:1:1","Weinsberg","49.14848588","9.28552577","","","","Pde:08125:4344"
"de:08125:4344:1:2","Weinsberg","49.14809219","9.28645103","","","","Pde:08125:4344"
"de:08125:4344:31","Weinsberg Bahnhof","49.14797467","9.28791528","","","","Pde:08125:4344"
"de:08125:4391:1:1","Schwaigern Ost","49.14052928","9.06913060","","","","Pde:08125:4391"
"de:08125:4402:0:1","Leingarten Kirche","49.14838011","9.10255691","","","","Pde:08125:4402"
"de:08125:4402:0:2","Leingarten Kirche","49.14824496","9.10223352","","","","Pde:08125:4402"
"de:08125:4405:1:1","Gemmingen West","49.15475505","8.97699040","","","","Pde:08125:4405"
"de:08125:4405:5:51","Gemmingen West (Ersatzhalt)","49.15302186","8.97883194","","","","Pde:08125:4405"
"de:08125:4405:5:52","Gemmingen West (Ersatzhalt)","49.15309236","8.97895771","","","","Pde:08125:4405"
"de:08125:4557:1:1","Offenau (Ersatzhalt)","49.24617594","9.16509762","","","","Pde:08125:4557"
"de:08125:4557:2:1","Offenau","49.24755403","9.16500779","","","","Pde:08125:4557"
"de:08125:4557:3:2","Offenau","49.24529628","9.16549288","","","","Pde:08125:4557"
"de:08125:4569:1:11","Gundelsheim (Neckar)","49.28284934","9.15838720","","","","Pde:08125:4569"
"de:08125:4569:2:1","Gundelsheim (Neckar)","49.28338259","9.15783923","","","","Pde:08125:4569"
"de:08125:4569:4:2","Gundelsheim (Neckar)","49.28230436","9.15819856","","","","Pde:08125:4569"
